"Unfall mit Getöteten";"Jura";"Nebenstrasse";"Ausserorts";0;0
"Unfall mit Getöteten";"Jura";"Nebenstrasse";"Innerorts";0;0
"Unfall mit Getöteten";"Jura";"Andere";"Ausserorts";0;1
"Unfall mit Getöteten";"Jura";"Andere";"Innerorts";0;0
"Unfall mit Schwerverletzten";"Zürich";"Autobahn";"Ausserorts";17;28
"Unfall mit Schwerverletzten";"Zürich";"Autobahn";"Innerorts";0;0
"Unfall mit Schwerverletzten";"Zürich";"Autobahnnebenanlage";"Ausserorts";0;0
"Unfall mit Schwerverletzten";"Zürich";"Autobahnnebenanlage";"Innerorts";0;0
"Unfall mit Schwerverletzten";"Zürich";"Autostrasse";"Ausserorts";1;2
"Unfall mit Schwerverletzten";"Zürich";"Autostrasse";"Innerorts";0;0
"Unfall mit Schwerverletzten";"Zürich";"Hauptstrasse";"Ausserorts";36;57
"Unfall mit Schwerverletzten";"Zürich";"Hauptstrasse";"Innerorts";135;122
"Unfall mit Schwerverletzten";"Zürich";"Nebenstrasse";"Ausserorts";89;86
"Unfall mit Schwerverletzten";"Zürich";"Nebenstrasse";"Innerorts";265;257
"Unfall mit Schwerverletzten";"Zürich";"Andere";"Ausserorts";1;2
"Unfall mit Schwerverletzten";"Zürich";"Andere";"Innerorts";32;21
"Unfall mit Schwerverletzten";"Bern / Berne";"Autobahn";"Ausserorts";17;32
"Unfall mit Schwerverletzten";"Bern / Berne";"Autobahn";"Innerorts";0;0
"Unfall mit Schwerverletzten";"Bern / Berne";"Autobahnnebenanlage";"Ausserorts";0;0
"Unfall mit Schwerverletzten";"Bern / Berne";"Autobahnnebenanlage";"Innerorts";0;0
"Unfall mit Schwerverletzten";"Bern / Berne";"Autostrasse";"Ausserorts";6;3
"Unfall mit Schwerverletzten";"Bern / Berne";"Autostrasse";"Innerorts";0;0
"Unfall mit Schwerverletzten";"Bern / Berne";"Hauptstrasse";"Ausserorts";117;114
"Unfall mit Schwerverletzten";"Bern / Berne";"Hauptstrasse";"Innerorts";143;171
